MARKET	SERIES	SYMBOL	SECURITY	PREV_CL_PR	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRICE	NET_TRDVAL	NET_TRDQTY	CORP_IND	HI_52_WK	LO_52_WK
N	ST	ANYA	ANYA POLYTECH & FERTI LTD	18.8	19.7	19.7	17.9	17.9	75095000	4070000	 	19.7	17
N	ST	APRAMEYA	APRAMEYA ENGINEERING LTD	121.05	127.1	127.1	118.25	120	3196400	26000	 	127.1	55
N	ST	APS	AUSTRALIAN PREM SOLAR I L	529.65	529	529	505.25	509.4	15214362.5	29500	 	669.9	140
G	ST	ARIHANTACA	ARIHANT ACADEMY LIMITED	247.35	242.45	242.45	242.4	242.4	581840	2400	 	252.4	117
N	ST	ARVINDPORT	ARVIND PORT AND INFRA LTD	92.25	89	89	87.65	87.65	659925	7500	 	152.8	38.05
N	ST	ASCOM	ASCOM LEASIN & INVEST LTD	127.6	121.25	121.25	121.25	121.25	60625	500	 	277.65	110.6
N	ST	ASHALOG	ASHAPURA LOGISTICS LTD	95.6	100.35	100.35	96.1	96.5	4374200	44000	 	194.25	84.4
N	ST	ASPIRE	ASPIRE & INNOVATIVE ADV L	46.7	46.7	46.7	45.3	46	458600	10000	 	132	41
G	ST	ATMASTCO	ATMASTCO LIMITED	283.95	282.6	282.6	278.3	278.3	12200600	43600	 	393.9	90.05
N	ST	AURDIS	AURANGABAD DISTILLERY LTD	218.05	223.55	225	213	213	679718.75	3125	 	432.75	203.7
N	ST	AVIANSH	AVI ANSH TEXTILE LIMITED	108.7	109	110	105.5	105.5	3666200	34000	 	113	64.6
N	ST	AVPINFRA	AVP INFRACON LIMITED	239.8	251.75	251.75	251.75	251.75	26383400	104800	 	251.75	63
N	ST	BAHETI	BAHETI RECYCLING IND LTD	405	410	411	400	400	1065375	2625	 	480.8	156
N	ST	BALCO	SOLVE PLASTIC PRODUCTS L	47.65	47.35	47.35	47.35	47.35	56820	1200	 	112.45	44.5
G	ST	BASILIC	BASILIC FLY STUDIO LTD	344	343.9	343.9	337.15	337.15	2134170	6300	 	657.6	280.85
N	ST	BEWLTD	BEW ENGINEERING LIMITED	261.85	264.9	264.9	248.75	250.95	12383475	49500	 	1935	204.95
N	ST	BOSS	BOSS PACKAGING SOLU LTD	48.5	48.5	48.5	48.5	48.5	97000	2000	 	86.6	45.25
N	ST	BRACEPORT	BRACE PORT LOGISTICS LTD	101.05	102	102	99	99	1944800	19200	 	184.65	95.5
N	ST	CADSYS	CADSYS (INDIA) LIMITED	114.35	120.05	120.05	108.65	108.65	1112900	10000	 	511	102
G	ST	CMNL	CHAMAN METALLICS LIMITED	143.6	146	146	141	141	1279200	9000	 	146	64
G	ST	COMMITTED	COMMITTED CARGO CARE LTD	144.05	144.05	146.9	143.85	146.9	1160880	8000	 	146.9	48.5
N	ST	CONTI	CONTINENTAL SEED CHEM LTD	37	35.15	35.15	35.15	35.15	351464.85	9999	 	70.15	17.95
N	ST	COOLCAPS	COOL CAPS INDUSTRIES LTD	844.25	845	845	825	825.1	33581812.5	40500	 	880.55	310
G	ST	CPS	C P S SHAPERS LIMITED	657.6	670.65	670.65	644.5	644.5	1191090	1800	 	670.65	246.05
N	ST	DECCANTRAN	DECCAN TRANSCON LEASING L	67.2	65.1	65.1	63.85	63.85	2156460	33600	 	117.9	57.3
N	ST	DENEERS	DE NEERS TOOLS LIMITED	340.6	342.3	342.35	323.6	325.05	5725320	17400	 	349.95	175
N	ST	DHANLAXMI	DHANLAXMI CROP SCIENCE L	78.5	79.5	79.5	74.6	74.6	7231700	96000	 	110	62
N	ST	DIGIKORE	DIGIKORE STUDIOS LIMITED	290.9	287	302.5	286	297.55	3142440	10600	 	666	265.65
G	ST	DPEL	DIVINE POWER ENERGY LTD	141.95	141.95	141.95	139.15	139.15	1904925	13500	 	162.75	66.25
G	ST	DRONE	DRONE DESTINATION LIMITED	211	206.8	206.8	206.8	206.8	1240800	6000	 	462	117
N	ST	DYNAMIC	DYNAMIC SRVCS & SEC LTD	374.95	377.4	377.4	356.2	356.2	8126175	22500	 	404.35	93.05
N	ST	EFACTOR	E FACTOR EXPERIENCES LTD	280	266	266	266	266	425600	1600	 	328.8	112
G	ST	EFFWA	EFFWA INFRA & RESEARCH L	250	252	252	245	245	3253600	13200	 	389.15	155.8
N	ST	EMMIL	ENERGY MISSION MACH IND L	331.95	325	330	316	320	2087212.5	6500	 	581.5	290
N	ST	ENFUSE	ENFUSE SOLUTIONS LIMITED	237.45	225.6	225.6	225.6	225.6	406080	1800	 	256.75	97.5
N	ST	ENSER	ENSER COMMUNICATIONS LTD	167.15	175.5	175.5	175.5	175.5	8073000	46000	 	327.2	62
N	ST	ESCONET	ESCONET TECHNOLOGIES LTD	346.25	360	363.55	350.7	351.55	16411600	45600	 	539.95	142
N	ST	ESFL	ESSEN SPECIALITY FILMS L	728.3	711	720	691.9	692.05	53376552	76320	 	757.25	135
G	ST	FELIX	FELIX INDUSTRIES LTD.	175.45	178.95	178.95	171.95	176.5	9616050	54500	 	454.9	139.75
G	ST	FORCAS	FORCAS STUDIO LIMITED	109.55	107.35	107.35	107.35	107.35	171760	1600	 	159.6	80
N	ST	FRESHARA	FRESHARA AGRO EXPORTS LTD	205.6	207	207	195.35	195.35	21718980	109200	 	207	110
N	ST	GAJANAND	GAJANAND INTERNATIONAL L	19	18.15	19	18.15	18.3	553200	30000	 	43	17.35
N	ST	GICL	GLOBE INTL CARRIERS LTD	96	98	98	98	98	147000	1500	 	104.4	35.65
N	ST	GPECO	GP ECO SOLUTIONS INDIA L	266.45	272.7	275.9	255.1	257.7	6151740	23400	 	470	212.2
N	ST	GRAPHISAD	GRAPHISADS LIMITED	59.5	57	57.1	56.55	56.75	1431360	25200	 	85.8	37.6
N	ST	GRCL	GAYATRI RUBB AND CHEM LTD	458.6	436	458.6	436	458.6	223650	500	 	524.75	190
G	ST	GSMFOILS	GSM FOILS LIMITED	120.7	118.35	118.35	118.3	118.3	4258900	36000	 	125.5	30.5
N	ST	GSTL	GLOBESECURE TECHNO LTD	35.05	36.8	36.8	33.3	34.7	2667800	75000	 	86.45	28.75
N	ST	HIGREEN	HI GREEN CARBON LIMITED	280	294	294	266	289.15	25357200	89600	 	325.7	141
N	ST	HOACFOODS	HOAC FOODS INDIA LIMITED	145	143	143	142	142.5	427500	3000	 	213.8	105
N	ST	HOLMARC	HOLMARC OPTO MECHATRO L	166.05	166.05	166.05	166	166	498075	3000	 	214	76
G	ST	HRHNEXT	HRH NEXT SERVICES LIMITED	100.2	98.2	98.2	98.2	98.2	441900	4500	 	125.6	26.8
N	ST	IBLFL	IBL FINANCE LIMITED	56.75	55.05	55.5	54.7	55	1871200	34000	 	91.7	45.25
N	ST	IDENTICAL	IDENTICAL BRAINS STUDIO L	81.15	77.1	81	77.1	77.1	32643900	422000	 	99.75	73.7
G	ST	INFOLLION	INFOLLION RESEARCH SER L	409.7	402	405	402	403	2100000	5200	 	529.95	153
N	ST	IPHL	INDIAN PHOSPHATE LIMITED	81.4	81.05	82.5	80.1	80.35	3032040	37200	 	197.5	77.5
N	ST	IPSL	INTEGRATED PERSO SER LTD	328.4	312.05	312.05	312	312	312025	1000	 	336	131
N	ST	ISHAN	ISHAN INTERNATIONAL LTD	1.95	2	2	1.9	1.9	744000	384000	 	164.85	1.7
N	ST	ITALIANE	ITALIAN EDIBLES LIMITED	44.45	44	44	43.15	43.15	174300	4000	 	67.6	30.1
N	ST	ITTL	INNOVATIVE TYRE & TUBE LT	23.6	24.75	24.75	24.75	24.75	2598.75	105	 	24.75	18.6
N	ST	JAINAM	JAINAM FER ALLOYS (I) LTD	228.25	227	232.95	227	230.6	3208200	14000	 	242	117.9
G	ST	JALAN	JALAN TRANSOLU. INDIA LTD	9.9	10.05	10.05	10.05	10.05	1628100	162000	 	10.05	2.9
N	ST	JAYBEE	JAY BEE LAMINATIONS LTD	375.7	368.05	375.6	356.95	363	25147200	69000	 	456	225
N	ST	K2INFRA	K2 INFRAGEN LIMITED	159.55	154.35	155.1	151.6	151.6	5398110	35400	 	329	134.75
G	ST	KANDARP	KANDARP DG SMART BPO LTD	49.15	50	50	50	50	1000000	20000	 	58.95	16.5
G	ST	KARNIKA	KARNIKA INDUSTRIES LTD	376.9	369.4	378	369.4	378	601360	1600	 	387.25	127.15
N	ST	KCEIL	KAY CEE ENERGY & INFRA L	354.55	347	360	336.85	346.2	11112350	32000	 	424.5	171.4
G	ST	KCK	KCK INDUSTRIES LTD	59.3	58.15	60.45	58.15	60.45	883750	15000	 	324.5	21.4
N	ST	KDL	KORE DIGITAL LIMITED	1744.35	1701	1800	1658.05	1700.9	20759407.5	12100	 	2856.15	634
N	ST	KEL	KUNDAN EDIFICE LIMITED	147.1	140	144	140	144	508920	3600	 	243.95	131.05
N	ST	KNAGRI	KN AGRI RESOURCES LIMITED	268.75	270.9	272	259	259.6	7111000	26800	 	310	112
G	ST	KONSTELEC	KONSTELEC ENGINEERS LTD	126.75	124.25	124.3	124.25	124.25	869800	7000	 	322.8	111
N	ST	KONTOR	KONTOR SPACE LIMITED	120.05	120.05	121	117.25	119	1430520	12000	 	200.05	59.65
N	ST	KORE	JAY JALARAM TECHNO LTD	350	350	359.8	332.5	332.5	849350	2500	 	873	280
N	ST	KRISHNADEF	KRISHNA DEF AND ALD IND L	764.4	764.4	802.6	764.4	799.7	88041787.5	111500	 	1130	302
N	ST	KTL	KALAHRIDHAAN TRENDZ LTD	26.3	27.6	27.6	27.5	27.5	496200	18000	 	71.95	24.2
G	ST	LAMOSAIC	LAMOSAIC INDIA LIMITED	95.2	93.3	93.3	93.3	93.3	279900	3000	 	172.2	84.1
N	ST	LEMERITE	LE MERITE EXPORTS LIMITED	281.4	282	283.5	275	278.85	2229200	8000	 	285	41
G	ST	LRRPL	LEAD REC AND RUB PROD LTD	81.7	81.7	81.7	81.7	81.7	612750	7500	 	121.65	28.65
N	ST	MAITREYA	MAITREYA MEDICARE LIMITED	354	345.05	355	336.5	346.8	3169940	9200	 	400	111
N	ST	MARINETRAN	MARINETRANS INDIA LIMITED	22.8	22.8	23.8	22.8	23.8	186400	8000	 	51.45	19.1
G	ST	MASON	MASON INFRATECH LIMITED	139.85	142.4	142.4	137.05	137.1	1967950	14000	 	218.75	83.6
N	ST	MASTER	MASTER COMPONENTS LIMITED	314.9	314.9	314.9	314.9	314.9	157450	500	 	380	130
N	ST	MCON	MCON RASAYAN INDIA LTD	199.5	196	196	190	190.5	1342450	7000	 	244.35	105.35
G	ST	MEDIORG	MEDICAMEN ORGANICS LTD	51.8	52.8	52.8	50.85	50.85	518200	10000	 	159.4	47
N	ST	MEGAFLEX	MEGA FLEX PLASTICS LTD	50.25	47.8	47.8	47.8	47.8	143400	3000	 	75	28.95
N	ST	MOS	MOS UTILITY LIMITED	280.95	280	284	268	277.9	6514820	23600	 	374.95	86.55
G	ST	NAMAN	NAMAN IN-STORE (INDIA) L	147.6	150.55	150.55	144.65	144.65	1291800	8800	 	257	80
N	ST	NAMOEWASTE	NAMO EWASTE MANAGEMENT L	216.3	215	218	205.5	205.5	22073360	105600	 	284	135.2
N	ST	NEELAM	NEELAM LINENS & GAR (I) L	57.4	59	59	57.95	57.95	1049700	18000	 	74.4	36.15
N	ST	NEPHROCARE	NEPHRO CARE INDIA LIMITED	193	191	191	184.3	186.3	3716340	19600	 	378.8	171
N	ST	NIRMAN	NIRMAN AGRI GENTICS LTD	407.65	401.1	428	400	426.2	32315160	76800	 	484.4	175.7
N	ST	NMSTEEL	NEWMALAYALAM STEEL LTD	72.05	71.8	73	68.45	68.45	18924960	275200	 	90	66.25
G	ST	OBSCP	OBSC PERFECTION LIMITED	254.6	259.65	259.65	259	259.65	55733040	214800	 	259.65	110
N	ST	OMFURN	OMFURN INDIA LIMITED	105.7	103	104.9	100.45	102.65	4401240	43200	 	109.5	52.5
N	ST	ONDOOR	ON DOOR CONCEPTS LIMITED	279.95	289.9	293.9	289.75	290.2	6803040	23400	 	544.9	226
N	ST	ONYX	ONYX BIOTEC LIMITED	90.15	89	89	85.65	85.65	1038400	12000	 	97.45	51
N	ST	OSELDEVICE	OSEL DEVICES LIMITED	326.3	334	342.6	325	336.8	66262160	195200	 	342.6	169.6
N	ST	PARAGON	PARAGON FINE S.C. LTD.	94.2	96.5	96.7	93.15	93.85	4631280	49200	 	183	92.35
N	ST	PARIN	PARIN ENTERPRISES LIMITED	383	365	385	363.85	380	3320700	9000	 	410.95	106.4
N	ST	PASHUPATI	PASHUPATI COTSPIN LIMITED	536	533	561.5	533	561.5	325500	600	 	613.2	85
N	ST	PELATRO	PELATRO LIMITED	493	493	493	468.35	468.35	4244250	9000	 	559.9	263
N	ST	PERFECT	PERFECT INFRAENGINEER LTD	21	19.95	19.95	19.95	19.95	359100	18000	 	61.35	16.95
N	ST	PHANTOMFX	PHANTOM DIGITAL EFF LTD	232.05	239	239	220.45	221.65	6214365	27300	 	578	205.15
N	ST	PHOGLOBAL	PHOENIX OVERSEAS LIMITED	29.1	29.45	30	28.35	28.8	1346600	46000	 	64	26.35
N	ST	POSITRON	POSITRON ENERGY LIMITED	332	335.9	340	315.4	316.3	7184460	22200	 	668.2	300
N	ST	PRATHAM	PRATHAM EPC PROJECTS LTD	230.8	242.3	242.3	219.3	219.3	14159840	61600	 	496.8	96
N	ST	PRECISION	PRECISION METALIKS LTD	44.5	42.8	42.8	42.3	42.3	254900	6000	 	70.9	39
G	ST	PRESSTONIC	PRESSTONIC ENGINEERING L	118	117.9	117.9	115.65	115.65	1482120	12800	 	210	80.35
G	ST	PRITIKA	PRITIKA ENG COMPO LTD	196.3	192.4	192.4	192.4	192.4	1346800	7000	 	210	46.5
N	ST	PRIZOR	PRIZOR VIZTECH LIMITED	193.95	203.6	203.6	203.6	203.6	17265280	84800	 	229.45	115
G	ST	PULZ	PULZ ELECTRONICS LIMITED	70.05	71.45	71.45	68.65	68.65	1115200	16000	 	210.15	64.75
N	ST	QUICKTOUCH	QUICKTOUCH TECHNOLOGIES L	98.45	94.05	95.95	93.55	93.55	567375	6000	 	256.95	83.15
N	ST	QVCEL	QVC EXPORTS LIMITED	43.35	42.9	42.9	42.5	42.5	342400	8000	 	162	42
N	ST	RAPPID	RAPPID VALVES (INDIA) LTD	336.95	336.95	336.95	320.4	323.15	3339660	10200	 	430	245.6
N	ST	RBMINFRA	RBM INFRACON LIMITED	709.25	701	711	673.85	677.6	19783570	28800	 	1049	421.05
N	ST	RBS	RAMDEVBABA SOLVENT LTD	140	139.1	140.9	134.2	139.45	13708880	99200	 	150.5	80.1
N	ST	REFRACTORY	REFRACTORY SHAPES LIMITED	92.95	92.95	93	88.3	88.45	2357950	26000	 	283	75
N	ST	RILINFRA	RACHANA INFRA LTD	44.35	44	44	42.15	42.15	976250	23100	 	97.2	27
G	ST	RMDRIP	R M DRIP & SPRINK SYS LTD	408.2	408.2	409.95	407.9	407.9	2449050	6000	 	444	95
N	ST	RNFI	RNFI SERVICES LIMITED	252	256.9	264	244	247.05	78149160	308400	 	264	109.8
N	ST	SAHAJSOLAR	SAHAJ SOLAR LIMITED	548.6	554.9	575	535.05	551.2	47562800	85200	 	790	342
N	ST	SAHANA	SAHANA SYSTEM LIMITED	1881.95	1890	1940	1788	1810.15	20955025	11375	 	2135	620.4
G	ST	SANGANI	SANGANI HOSPITALS LIMITED	75.8	74.3	74.3	74.3	74.3	668700	9000	 	81	35.2
N	ST	SATECH	S A TECH SOFTWARE INDIA L	125.05	126	126	120.25	123.3	9140900	74000	 	250	102.05
N	ST	SECL	SALASAR EXTERIOR CONT LTD	19.6	19.6	19.6	18.8	18.8	362500	18750	 	36.75	15.25
N	ST	SEL	SUNGARNER ENERGIES LTD	527.1	517	517	515	515.5	928400	1800	 	909.2	212.65
N	ST	SHANTHALA	SHANTHALA FMCG PRODUCTS L	39.3	41.2	41.25	40	40	639780	15600	 	117.5	33.1
G	ST	SHUBHLAXMI	SHUBHLAXMI JEWEL ART LTD	36.45	35.75	35.75	35.75	35.75	286000	8000	 	92.8	24.05
G	ST	SHUBHSHREE	SHUBHSHREE BIOFUELS ENE L	396.75	396.75	404.65	396.75	404.65	9131220	22800	 	404.9	179.55
N	ST	SILKFLEX	SILKFLEX POLYMERS INDIA L	79.1	81.8	82	77	77	635600	8000	 	114.5	46.1
N	ST	SJLOGISTIC	S J LOGISTICS (INDIA) LTD	619.75	620	630	592	602.05	47388575	78250	 	725	198
G	ST	SLONE	SLONE INFOSYSTEMS LIMITED	412.55	420.8	420.8	420.8	420.8	3703040	8800	 	420.8	80.25
N	ST	SONAMAC	SONA MACHINERY LIMITED	124.75	125.05	125.1	120	120.25	2561700	21000	 	249.9	113.65
G	ST	SONUINFRA	SONU INFRATECH LIMITED	127.25	129.75	129.75	129.75	129.75	778500	6000	 	129.75	39
N	ST	SPCL	SHIVALIC POWER CONTROL L	237.2	238.05	238.5	225.35	225.45	11269740	49200	 	396.75	190
N	ST	SPECTSTM	SPECTRUM TALENT MGMT LTD	192.5	193	193	182.9	188	2066240	11200	 	216	73.55
N	ST	SPPPOLY	SPP POLYMER LIMITED	33.5	34	34.2	31.85	31.85	661000	20000	 	63	31.35
N	ST	SSEGL	SATHLOKHAR SYN E&C GLOB L	492.95	498	498	468.3	469.1	29608270	62400	 	695.45	222.95
N	ST	SSFL	SRIVARI SPICES N FOODS L	213.15	213.15	216	207	209.25	4209975	20000	 	417.95	196
N	ST	SUPREMEPWR	SUPREME POWER EQUIPMENT L	240.85	244	244.9	230	230.5	14616250	62000	 	420	101.3
N	ST	SURANI	SURANI STEEL TUBES LTD.	195	195	195	185.25	185.25	447310	2400	 	734.6	140
N	ST	SWARAJ	SWARAJ SUITING LIMITED	236.65	237.85	237.85	225.15	231.95	3219875	14000	 	364.7	99.75
G	ST	TAC	TAC INFOSEC LIMITED	1410.55	1438.75	1438.75	1400	1400	164318250	114400	 	1438.75	261.1
N	ST	TBI	TBI CORN LIMITED	191.25	190	190.9	182	186	2656290	14400	 	399.3	166
G	ST	TECHERA	TECHERA ENGINEER (IND) L	204.75	200.65	200.65	200.65	200.65	5457680	27200	 	236.1	125
N	ST	TECHLABS	TRIDENT TECHLABS LIMITED	1376.45	1445.25	1445.25	1403	1445.25	269089181.3	186750	 	1447.25	138
N	ST	TGL	TEERTH GOPICON LIMITED	610.25	597	605	579.75	583.55	20076030	34200	 	774	123
N	ST	THESL	THINKING HATS ENTER SOL L	48.5	50.7	50.9	46.1	49.6	5031150	102000	 	61	33.3
N	ST	TRANSTEEL	TRANSTEEL SEATING TECH L	91.6	92	92	88.5	91.5	13885900	154000	 	114.25	42
N	ST	UHTL	UNITED HEAT TRANSFER LTD	104	104	104	98.8	99.4	4969700	50000	 	128.7	57.95
G	ST	URBAN	URBAN ENVIRO WASTE MGMT L	680.05	693.65	693.65	666.45	667	33445440	49200	 	695.15	265.45
G	ST	UTSSAV	UTSSAV CZ GOLD JEWELS LTD	285.2	279.5	279.5	279.5	279.5	1844700	6600	 	315.25	110.05
G	ST	UWCSL	ULTRA WIRING CONN SYS LTD	166.85	163.55	163.55	163.55	163.55	163550	1000	 	200.3	83.1
N	ST	VEEKAYEM	VEEKAYEM FASH & APP LTD	262.9	262.9	268.9	262.9	267.15	1598775	6000	 	337.95	92
N	ST	VERA	VERA SYNTHETIC LIMITED	91.5	91.5	91.5	91.5	91.5	137250	1500	 	118	46.8
N	ST	VILAS	VILAS TRANSCORE LIMITED	475.4	480	485	451.65	453.05	22885462.5	49500	 	566.5	203.8
G	ST	VINYAS	VINYAS INNOVATIVE TECH L	919	937.35	937.35	918	918	10602210	11400	 	1442.5	520
N	ST	VISHNUINFR	VISHNUSURYA PROJ N INFR L	255	255.05	260	249	251.1	5181000	20500	 	465.45	165.05
N	ST	VIVIANA	VIVIANA POWER TECH LTD	1025.8	1053	1076	976	1036.1	15771137.5	15500	 	1195	249
G	ST	VLINFRA	V.L.INFRAPROJECTS LIMITED	56.15	57.25	57.25	57.2	57.25	3949125	69000	 	141	47.25
N	ST	VMARCIND	V MARC INDIA LIMITED	400.75	415	415	380.75	392.75	8038137.5	20250	 	494.15	69.65
N	ST	VR	V R INFRASPACE LIMITED	321	335.9	337.05	312.2	312.6	1852400	5600	 	354.9	84.7
N	ST	WINNY	WINNY IMMIGRA & EDU SER L	316.95	310	316.75	310	316.75	313375	1000	 	363	184
G	ST	WOMANCART	WOMANCART LIMITED	398.15	406	406.1	390.2	390.2	8576720	21200	 	406.1	105.9
N	ST	WTICAB	WISE TRAVEL INDIA LIMITED	165	162.5	166.9	160	161.35	2689275	16500	 	342.95	155.35
N	ST	ZENITHDRUG	ZENITH DRUGS LIMITED	83.3	87.35	87.35	79.15	83.3	5688080	68000	 	154.4	52.8
G	ST	ZTECH	Z-TECH (INDIA) LIMITED	603.75	615.8	615.8	615.8	615.8	22538280	36600	 	615.8	99.2
